Stage,Start_Equation,Target_Equation,ChangeType,ChangedIndex1,From1,To1,ChangedIndex2,From2,To2,ChangedIndex3,From3,To3,ChangedIndex4,From4,To4,Start_Tokens,Target_Tokens
710,'76-47=723','76+47=123',op_and_digit_balance,6,7,1,2,-,+,,,,,,,'7;6;-;4;7;=;7;2;3','7;6;+;4;7;=;1;2;3'
711,'95-17=22','39-17=22',digit_to_digit,0,9,3,1,5,9,,,,,,,'9;5;-;1;7;=;2;2','3;9;-;1;7;=;2;2'
712,'49+16=124','49+75=124',digit_to_digit,4,6,5,3,1,7,,,,,,,'4;9;+;1;6;=;1;2;4','4;9;+;7;5;=;1;2;4'
713,'71-38=107','71+36=107',op_and_digit_balance,4,8,6,2,-,+,,,,,,,'7;1;-;3;8;=;1;0;7','7;1;+;3;6;=;1;0;7'
714,'34+35=59','94-35=59',op_and_digit_balance,2,+,-,0,3,9,,,,,,,'3;4;+;3;5;=;5;9','9;4;-;3;5;=;5;9'
715,'87+39=117','87+30=117',within_digit,4,9,0,,,,,,,,,,'8;7;+;3;9;=;11;7','8;7;+;3;0;=;11;7'
716,'71+21=102','71+31=102',within_digit,3,2,3,,,,,,,,,,'7;1;+;2;1;=;1;0;2','7;1;+;3;1;=;1;0;2'
717,'35=94--59','35-94=-59',swap_-_and_=,2,=,-,5,-,=,,,,,,,'3;5;=;9;4;-;-;5;9','3;5;-;9;4;=;-;5;9'
718,'57+37=-40','57-97=-40',op_and_digit_balance,2,+,-,3,3,9,,,,,,,'5;7;+;3;7;=;-;4;0','5;7;-;9;7;=;-;4;0'
719,'75+27=49','76-27=49',op_and_digit_balance,2,+,-,1,5,6,,,,,,,'7;5;+;2;7;=;4;9','7;6;-;2;7;=;4;9'
720,'33+63=166','93+63=156',digit_to_digit,7,6,5,0,3,9,,,,,,,'3;3;+;6;3;=;1;6;6','9;3;+;6;3;=;1;5;6'
721,'18+46=611','18+46=64',four_eleven,7,11,4,,,,,,,,,,'1;8;+;4;6;=;6;11','1;8;+;4;6;=;6;4'
722,'54+99=103','64+39=103',digit_to_digit,3,9,3,0,5,6,,,,,,,'5;4;+;9;9;=;1;0;3','6;4;+;3;9;=;1;0;3'
723,'27=14-13','27-14=13',swap_-_and_=,2,=,-,5,-,=,,,,,,,'2;7;=;1;4;-;1;3','2;7;-;1;4;=;1;3'
724,'34+40=54','94-40=54',op_and_digit_balance,2,+,-,0,3,9,,,,,,,'3;4;+;4;0;=;5;4','9;4;-;4;0;=;5;4'
725,'66+49=45','66+49=115',four_eleven,6,4,11,,,,,,,,,,'6;6;+;4;9;=;4;5','6;6;+;4;9;=;11;5'
726,'58+41=11','58-47=11',op_and_digit_balance,2,+,-,4,1,7,,,,,,,'5;8;+;4;1;=;11','5;8;-;4;7;=;11'
727,'86+88=168','88+80=168',digit_to_digit,4,8,0,1,6,8,,,,,,,'8;6;+;8;8;=;1;6;8','8;8;+;8;0;=;1;6;8'
728,'27+43=-15','27-43=-16',op_and_digit_balance,2,+,-,8,5,6,,,,,,,'2;7;+;4;3;=;-;1;5','2;7;-;4;3;=;-;1;6'
729,'87+58=23','87-58=29',op_and_digit_balance,2,+,-,7,3,9,,,,,,,'8;7;+;5;8;=;2;3','8;7;-;5;8;=;2;9'
730,'57+98=163','67+96=163',digit_to_digit,4,8,6,0,5,6,,,,,,,'5;7;+;9;8;=;1;6;3','6;7;+;9;6;=;1;6;3'
731,'93+32=51','93-32=61',op_and_digit_balance,2,+,-,6,5,6,,,,,,,'9;3;+;3;2;=;5;1','9;3;-;3;2;=;6;1'
732,'96-31=727','96+31=127',op_and_digit_balance,6,7,1,2,-,+,,,,,,,'9;6;-;3;1;=;7;2;7','9;6;+;3;1;=;1;2;7'
733,'13=30--17','13-30=-17',swap_-_and_=,2,=,-,5,-,=,,,,,,,'1;3;=;3;0;-;-;1;7','1;3;-;3;0;=;-;1;7'
734,'90+17=181','90+17=107',digit_to_digit,7,8,0,8,1,7,,,,,,,'9;0;+;1;7;=;1;8;1','9;0;+;1;7;=;1;0;7'
735,'28+29=45','20+29=49',digit_to_digit,1,8,0,7,5,9,,,,,,,'2;8;+;2;9;=;4;5','2;0;+;2;9;=;4;9'
736,'45=49--4','45-49=-4',swap_-_and_=,2,=,-,5,-,=,,,,,,,'4;5;=;4;9;-;-;4','4;5;-;4;9;=;-;4'
737,'97+45=103','57+46=103',digit_to_digit,0,9,5,4,5,6,,,,,,,'9;7;+;4;5;=;1;0;3','5;7;+;4;6;=;1;0;3'
738,'43+89=-40','49-89=-40',op_and_digit_balance,2,+,-,1,3,9,,,,,,,'4;3;+;8;9;=;-;4;0','4;9;-;8;9;=;-;4;0'
739,'39+67=122','35+87=122',digit_to_digit,1,9,5,3,6,8,,,,,,,'3;9;+;6;7;=;1;2;2','3;5;+;8;7;=;1;2;2'
740,'78=34-44','78-34=44',swap_-_and_=,2,=,-,5,-,=,,,,,,,'7;8;=;3;4;-;4;4','7;8;-;3;4;=;4;4'
741,'97+34=53','97-34=63',op_and_digit_balance,2,+,-,6,5,6,,,,,,,'9;7;+;3;4;=;5;3','9;7;-;3;4;=;6;3'
742,'86+11=95','85+11=96',digit_to_digit,1,6,5,6,5,6,,,,,,,'8;6;+;11;=;9;5','8;5;+;11;=;9;6'
743,'88+29=47','88+29=117',four_eleven,6,4,11,,,,,,,,,,'8;8;+;2;9;=;4;7','8;8;+;2;9;=;11;7'
744,'55+68=724','56+68=124',digit_to_digit,6,7,1,1,5,6,,,,,,,'5;5;+;6;8;=;7;2;4','5;6;+;6;8;=;1;2;4'
745,'58+84=143','58+84=142',within_digit,8,3,2,,,,,,,,,,'5;8;+;8;4;=;1;4;3','5;8;+;8;4;=;1;4;2'
746,'81+54=155','61+94=155',digit_to_digit,0,8,6,3,5,9,,,,,,,'8;1;+;5;4;=;1;5;5','6;1;+;9;4;=;1;5;5'
747,'67+69=127','67+60=127',within_digit,4,9,0,,,,,,,,,,'6;7;+;6;9;=;1;2;7','6;7;+;6;0;=;1;2;7'
748,'97-95=6','91-85=6',digit_to_digit,1,7,1,3,9,8,,,,,,,'9;7;-;9;5;=;6','9;1;-;8;5;=;6'
749,'70+26=35','10+26=36',digit_to_digit,0,7,1,7,5,6,,,,,,,'7;0;+;2;6;=;3;5','1;0;+;2;6;=;3;6'
750,'17+38=116','77+39=116',digit_to_digit,4,8,9,0,1,7,,,,,,,'1;7;+;3;8;=;11;6','7;7;+;3;9;=;11;6'
751,'92-35=87','52+35=87',op_and_digit_balance,0,9,5,2,-,+,,,,,,,'9;2;-;3;5;=;8;7','5;2;+;3;5;=;8;7'
752,'63+54=-1','63-64=-1',op_and_digit_balance,2,+,-,3,5,6,,,,,,,'6;3;+;5;4;=;-;1','6;3;-;6;4;=;-;1'
753,'92-88=11','92-88=4',four_eleven,6,11,4,,,,,,,,,,'9;2;-;8;8;=;11','9;2;-;8;8;=;4'
754,'10+90=190','10+90=100',within_digit,7,9,0,,,,,,,,,,'1;0;+;9;0;=;1;9;0','1;0;+;9;0;=;1;0;0'
755,'80-72=192','80+72=152',op_and_digit_balance,7,9,5,2,-,+,,,,,,,'8;0;-;7;2;=;1;9;2','8;0;+;7;2;=;1;5;2'
756,'55+95=-30','65-95=-30',op_and_digit_balance,2,+,-,0,5,6,,,,,,,'5;5;+;9;5;=;-;3;0','6;5;-;9;5;=;-;3;0'
757,'26-24=58','26+24=50',op_and_digit_balance,7,8,0,2,-,+,,,,,,,'2;6;-;2;4;=;5;8','2;6;+;2;4;=;5;0'
758,'33+18=-45','33-78=-45',op_and_digit_balance,2,+,-,3,1,7,,,,,,,'3;3;+;1;8;=;-;4;5','3;3;-;7;8;=;-;4;5'
759,'30+91=141','90+51=141',digit_to_digit,3,9,5,0,3,9,,,,,,,'3;0;+;9;1;=;1;4;1','9;0;+;5;1;=;1;4;1'
760,'17+58=127','77+50=127',digit_to_digit,4,8,0,0,1,7,,,,,,,'1;7;+;5;8;=;1;2;7','7;7;+;5;0;=;1;2;7'
761,'89+56=184','89+95=184',digit_to_digit,4,6,5,3,5,9,,,,,,,'8;9;+;5;6;=;1;8;4','8;9;+;9;5;=;1;8;4'
762,'56+34=32','66-34=32',op_and_digit_balance,2,+,-,0,5,6,,,,,,,'5;6;+;3;4;=;3;2','6;6;-;3;4;=;3;2'
763,'19+89=-10','19-89=-70',op_and_digit_balance,2,+,-,7,1,7,,,,,,,'1;9;+;8;9;=;-;1;0','1;9;-;8;9;=;-;7;0'
764,'83+46=43','89-46=43',op_and_digit_balance,2,+,-,1,3,9,,,,,,,'8;3;+;4;6;=;4;3','8;9;-;4;6;=;4;3'
765,'96-77=167','96+71=167',op_and_digit_balance,4,7,1,2,-,+,,,,,,,'9;6;-;7;7;=;1;6;7','9;6;+;7;1;=;1;6;7'
766,'73+29=50','79-29=50',op_and_digit_balance,2,+,-,1,3,9,,,,,,,'7;3;+;2;9;=;5;0','7;9;-;2;9;=;5;0'
767,'93+59=186','93+93=186',digit_to_digit,4,9,3,3,5,9,,,,,,,'9;3;+;5;9;=;1;8;6','9;3;+;9;3;=;1;8;6'
768,'25+31=46','25+21=46',within_digit,3,3,2,,,,,,,,,,'2;5;+;3;1;=;4;6','2;5;+;2;1;=;4;6'
769,'71+44=33','77-44=33',op_and_digit_balance,2,+,-,1,1,7,,,,,,,'7;1;+;4;4;=;3;3','7;7;-;4;4;=;3;3'
770,'73+10=149','73+70=143',digit_to_digit,8,9,3,3,1,7,,,,,,,'7;3;+;1;0;=;1;4;9','7;3;+;7;0;=;1;4;3'
771,'46+92=99','46+52=98',digit_to_digit,3,9,5,7,9,8,,,,,,,'4;6;+;9;2;=;9;9','4;6;+;5;2;=;9;8'
772,'67-55=722','67+55=122',op_and_digit_balance,6,7,1,2,-,+,,,,,,,'6;7;-;5;5;=;7;2;2','6;7;+;5;5;=;1;2;2'
773,'23-78=107','23+78=101',op_and_digit_balance,8,7,1,2,-,+,,,,,,,'2;3;-;7;8;=;1;0;7','2;3;+;7;8;=;1;0;1'
774,'53+40=5','53-48=5',op_and_digit_balance,2,+,-,4,0,8,,,,,,,'5;3;+;4;0;=;5','5;3;-;4;8;=;5'
775,'10+34=36','70-34=36',op_and_digit_balance,2,+,-,0,1,7,,,,,,,'1;0;+;3;4;=;3;6','7;0;-;3;4;=;3;6'
776,'55-49=100','55+45=100',op_and_digit_balance,4,9,5,2,-,+,,,,,,,'5;5;-;4;9;=;1;0;0','5;5;+;4;5;=;1;0;0'
777,'91-42=5','51-42=9',digit_to_digit,0,9,5,6,5,9,,,,,,,'9;1;-;4;2;=;5','5;1;-;4;2;=;9'
778,'32+79=102','32+70=102',within_digit,4,9,0,,,,,,,,,,'3;2;+;7;9;=;1;0;2','3;2;+;7;0;=;1;0;2'
779,'30+80=100','20+80=100',within_digit,0,3,2,,,,,,,,,,'3;0;+;8;0;=;1;0;0','2;0;+;8;0;=;1;0;0'
780,'39-49=-5','38-43=-5',digit_to_digit,4,9,3,1,9,8,,,,,,,'3;9;-;4;9;=;-;5','3;8;-;4;3;=;-;5'
781,'14+28=112','14+28=42',four_eleven,6,11,4,,,,,,,,,,'1;4;+;2;8;=;11;2','1;4;+;2;8;=;4;2'
782,'52=82--30','52-82=-30',swap_-_and_=,2,=,-,5,-,=,,,,,,,'5;2;=;8;2;-;-;3;0','5;2;-;8;2;=;-;3;0'
783,'29-22=45','23+22=45',op_and_digit_balance,1,9,3,2,-,+,,,,,,,'2;9;-;2;2;=;4;5','2;3;+;2;2;=;4;5'
784,'43-81=724','43+81=124',op_and_digit_balance,6,7,1,2,-,+,,,,,,,'4;3;-;8;1;=;7;2;4','4;3;+;8;1;=;1;2;4'
785,'39+15=23','38-15=23',op_and_digit_balance,2,+,-,1,9,8,,,,,,,'3;9;+;1;5;=;2;3','3;8;-;1;5;=;2;3'
786,'14+63=11','74-63=11',op_and_digit_balance,2,+,-,0,1,7,,,,,,,'1;4;+;6;3;=;11','7;4;-;6;3;=;11'
787,'45+44=80','46+44=90',digit_to_digit,6,8,9,1,5,6,,,,,,,'4;5;+;4;4;=;8;0','4;6;+;4;4;=;9;0'
788,'50=47-3','50-47=3',swap_-_and_=,2,=,-,5,-,=,,,,,,,'5;0;=;4;7;-;3','5;0;-;4;7;=;3'
789,'51+64=-7','57-64=-7',op_and_digit_balance,2,+,-,1,1,7,,,,,,,'5;1;+;6;4;=;-;7','5;7;-;6;4;=;-;7'
790,'35-99=-48','35-83=-48',digit_to_digit,4,9,3,3,9,8,,,,,,,'3;5;-;9;9;=;-;4;8','3;5;-;8;3;=;-;4;8'
791,'47-49=90','47+43=90',op_and_digit_balance,4,9,3,2,-,+,,,,,,,'4;7;-;4;9;=;9;0','4;7;+;4;3;=;9;0'
792,'25-91=-25','25-51=-26',digit_to_digit,3,9,5,8,5,6,,,,,,,'2;5;-;9;1;=;-;2;5','2;5;-;5;1;=;-;2;6'
793,'85-49=44','89-45=44',digit_to_digit,4,9,5,1,5,9,,,,,,,'8;5;-;4;9;=;4;4','8;9;-;4;5;=;4;4'
794,'87=94--7','87-94=-7',swap_-_and_=,2,=,-,5,-,=,,,,,,,'8;7;=;9;4;-;-;7','8;7;-;9;4;=;-;7'
795,'48-82=110','48+62=110',op_and_digit_balance,3,8,6,2,-,+,,,,,,,'4;8;-;8;2;=;11;0','4;8;+;6;2;=;11;0'
796,'79-86=-5','79-85=-6',digit_to_digit,4,6,5,7,5,6,,,,,,,'7;9;-;8;6;=;-;5','7;9;-;8;5;=;-;6'
797,'50-90=-31','59-90=-31',within_digit,1,0,9,,,,,,,,,,'5;0;-;9;0;=;-;3;1','5;9;-;9;0;=;-;3;1'
798,'42-84=128','42+84=126',op_and_digit_balance,8,8,6,2,-,+,,,,,,,'4;2;-;8;4;=;1;2;8','4;2;+;8;4;=;1;2;6'
799,'47-76=122','47+75=122',op_and_digit_balance,4,6,5,2,-,+,,,,,,,'4;7;-;7;6;=;1;2;2','4;7;+;7;5;=;1;2;2'
800,'35+31=5','36-31=5',op_and_digit_balance,2,+,-,1,5,6,,,,,,,'3;5;+;3;1;=;5','3;6;-;3;1;=;5'
801,'74-87=761','74+87=161',op_and_digit_balance,6,7,1,2,-,+,,,,,,,'7;4;-;8;7;=;7;6;1','7;4;+;8;7;=;1;6;1'
802,'83-64=127','63+64=127',op_and_digit_balance,0,8,6,2,-,+,,,,,,,'8;3;-;6;4;=;1;2;7','6;3;+;6;4;=;1;2;7'
803,'84-57=-7','84-91=-7',digit_to_digit,4,7,1,3,5,9,,,,,,,'8;4;-;5;7;=;-;7','8;4;-;9;1;=;-;7'
804,'10-25=95','10+25=35',op_and_digit_balance,6,9,3,2,-,+,,,,,,,'1;0;-;2;5;=;9;5','1;0;+;2;5;=;3;5'
805,'75-38=-22','16-38=-22',digit_to_digit,0,7,1,1,5,6,,,,,,,'7;5;-;3;8;=;-;2;2','1;6;-;3;8;=;-;2;2'
806,'18-72=88','16+72=88',op_and_digit_balance,1,8,6,2,-,+,,,,,,,'1;8;-;7;2;=;8;8','1;6;+;7;2;=;8;8'
807,'43+23=26','49-23=26',op_and_digit_balance,2,+,-,1,3,9,,,,,,,'4;3;+;2;3;=;2;6','4;9;-;2;3;=;2;6'
808,'13+78=89','19+70=89',digit_to_digit,4,8,0,1,3,9,,,,,,,'1;3;+;7;8;=;8;9','1;9;+;7;0;=;8;9'
809,'98=78-20','98-78=20',swap_-_and_=,2,=,-,5,-,=,,,,,,,'9;8;=;7;8;-;2;0','9;8;-;7;8;=;2;0'
810,'44=62--18','44-62=-18',swap_-_and_=,2,=,-,5,-,=,,,,,,,'4;4;=;6;2;-;-;1;8','4;4;-;6;2;=;-;1;8'
811,'47=44-3','47-44=3',swap_-_and_=,2,=,-,5,-,=,,,,,,,'4;7;=;4;4;-;3','4;7;-;4;4;=;3'
812,'48-62=-42','40-82=-42',digit_to_digit,1,8,0,3,6,8,,,,,,,'4;8;-;6;2;=;-;4;2','4;0;-;8;2;=;-;4;2'
813,'89+13=75','89-13=76',op_and_digit_balance,2,+,-,7,5,6,,,,,,,'8;9;+;1;3;=;7;5','8;9;-;1;3;=;7;6'
814,'45-40=-9','45-48=-3',digit_to_digit,7,9,3,4,0,8,,,,,,,'4;5;-;4;0;=;-;9','4;5;-;4;8;=;-;3'
815,'35+84=100','36+64=100',digit_to_digit,3,8,6,1,5,6,,,,,,,'3;5;+;8;4;=;1;0;0','3;6;+;6;4;=;1;0;0'
816,'56+45=10','56-46=10',op_and_digit_balance,2,+,-,4,5,6,,,,,,,'5;6;+;4;5;=;1;0','5;6;-;4;6;=;1;0'
817,'39+21=116','95+21=116',digit_to_digit,1,9,5,0,3,9,,,,,,,'3;9;+;2;1;=;11;6','9;5;+;2;1;=;11;6'
818,'68-50=116','66+50=116',op_and_digit_balance,1,8,6,2,-,+,,,,,,,'6;8;-;5;0;=;11;6','6;6;+;5;0;=;11;6'
819,'95+86=-1','85-86=-1',op_and_digit_balance,2,+,-,0,9,8,,,,,,,'9;5;+;8;6;=;-;1','8;5;-;8;6;=;-;1'
820,'28+52=-34','28-62=-34',op_and_digit_balance,2,+,-,3,5,6,,,,,,,'2;8;+;5;2;=;-;3;4','2;8;-;6;2;=;-;3;4'
821,'19-19=34','15+19=34',op_and_digit_balance,1,9,5,2,-,+,,,,,,,'1;9;-;1;9;=;3;4','1;5;+;1;9;=;3;4'
822,'54+48=104','64+40=104',digit_to_digit,4,8,0,0,5,6,,,,,,,'5;4;+;4;8;=;1;0;4','6;4;+;4;0;=;1;0;4'
823,'92+95=78','92-9-5=78',,2,+,-,,,,,,,,,,9;2;+;9;5;=;7;8',9;2;-;9;-;5;=;7;8'
824,'18-42=52','10+42=52',op_and_digit_balance,1,8,0,2,-,+,,,,,,,'1;8;-;4;2;=;5;2','1;0;+;4;2;=;5;2'
825,'86-87=167','86+81=167',op_and_digit_balance,4,7,1,2,-,+,,,,,,,'8;6;-;8;7;=;1;6;7','8;6;+;8;1;=;1;6;7'
826,'25+53=-29','25-53=-28',op_and_digit_balance,2,+,-,8,9,8,,,,,,,'2;5;+;5;3;=;-;2;9','2;5;-;5;3;=;-;2;8'
827,'21+14=13','27-14=13',op_and_digit_balance,2,+,-,1,1,7,,,,,,,'2;1;+;1;4;=;1;3','2;7;-;1;4;=;1;3'
828,'12+53=19','72-53=19',op_and_digit_balance,2,+,-,0,1,7,,,,,,,'1;2;+;5;3;=;1;9','7;2;-;5;3;=;1;9'
829,'21-17=70','27-17=10',digit_to_digit,6,7,1,1,1,7,,,,,,,'2;1;-;1;7;=;7;0','2;7;-;1;7;=;1;0'
830,'14-69=89','14+69=83',op_and_digit_balance,7,9,3,2,-,+,,,,,,,'1;4;-;6;9;=;8;9','1;4;+;6;9;=;8;3'
831,'58+76=-19','58-76=-18',op_and_digit_balance,2,+,-,8,9,8,,,,,,,'5;8;+;7;6;=;-;1;9','5;8;-;7;6;=;-;1;8'
832,'75+60=125','75+60=135',within_digit,7,2,3,,,,,,,,,,'7;5;+;6;0;=;1;2;5','7;5;+;6;0;=;1;3;5'
833,'52+91=-29','52-81=-29',op_and_digit_balance,2,+,-,3,9,8,,,,,,,'5;2;+;9;1;=;-;2;9','5;2;-;8;1;=;-;2;9'
834,'75-81=8','75-67=8',digit_to_digit,3,8,6,4,1,7,,,,,,,'7;5;-;8;1;=;8','7;5;-;6;7;=;8'
835,'81-95=178','81+95=176',op_and_digit_balance,8,8,6,2,-,+,,,,,,,'8;1;-;9;5;=;1;7;8','8;1;+;9;5;=;1;7;6'
836,'70-24=84','70+24=94',op_and_digit_balance,6,8,9,2,-,+,,,,,,,'7;0;-;2;4;=;8;4','7;0;+;2;4;=;9;4'
837,'81+79=8','87-79=8',op_and_digit_balance,2,+,-,1,1,7,,,,,,,'8;1;+;7;9;=;8','8;7;-;7;9;=;8'
838,'27=49--22','27-49=-22',swap_-_and_=,2,=,-,5,-,=,,,,,,,'2;7;=;4;9;-;-;2;2','2;7;-;4;9;=;-;2;2'
839,'16+37=56','18+37=55',digit_to_digit,7,6,5,1,6,8,,,,,,,'1;6;+;3;7;=;5;6','1;8;+;3;7;=;5;5'
840,'75-89=-70','79-89=-10',digit_to_digit,7,7,1,1,5,9,,,,,,,'7;5;-;8;9;=;-;7;0','7;9;-;8;9;=;-;1;0'
841,'30-92=722','30+92=122',op_and_digit_balance,6,7,1,2,-,+,,,,,,,'3;0;-;9;2;=;7;2;2','3;0;+;9;2;=;1;2;2'
842,'71-68=2','71-68=3',within_digit,6,2,3,,,,,,,,,,'7;1;-;6;8;=;2','7;1;-;6;8;=;3'
843,'13+58=-85','13-98=-85',op_and_digit_balance,2,+,-,3,5,9,,,,,,,'1;3;+;5;8;=;-;8;5','1;3;-;9;8;=;-;8;5'
844,'66+95=164','65+99=164',digit_to_digit,1,6,5,4,5,9,,,,,,,'6;6;+;9;5;=;1;6;4','6;5;+;9;9;=;1;6;4'
845,'89-43=128','85+43=128',op_and_digit_balance,1,9,5,2,-,+,,,,,,,'8;9;-;4;3;=;1;2;8','8;5;+;4;3;=;1;2;8'
846,'40-88=728','40+88=128',op_and_digit_balance,6,7,1,2,-,+,,,,,,,'4;0;-;8;8;=;7;2;8','4;0;+;8;8;=;1;2;8'
847,'98+80=119','38+80=118',digit_to_digit,0,9,3,7,9,8,,,,,,,'9;8;+;8;0;=;11;9','3;8;+;8;0;=;11;8'
848,'50-92=-92','60-92=-32',digit_to_digit,7,9,3,0,5,6,,,,,,,'5;0;-;9;2;=;-;9;2','6;0;-;9;2;=;-;3;2'
849,'42+51=703','42+61=103',digit_to_digit,6,7,1,3,5,6,,,,,,,'4;2;+;5;1;=;7;0;3','4;2;+;6;1;=;1;0;3'
850,'82-38=128','82+38=120',op_and_digit_balance,8,8,0,2,-,+,,,,,,,'8;2;-;3;8;=;1;2;8','8;2;+;3;8;=;1;2;0'
851,'51+44=47','91-44=47',op_and_digit_balance,2,+,-,0,5,9,,,,,,,'5;1;+;4;4;=;4;7','9;1;-;4;4;=;4;7'
852,'65=48-17','65-48=17',swap_-_and_=,2,=,-,5,-,=,,,,,,,'6;5;=;4;8;-;1;7','6;5;-;4;8;=;1;7'
853,'72+51=193','72+61=133',digit_to_digit,7,9,3,3,5,6,,,,,,,'7;2;+;5;1;=;1;9;3','7;2;+;6;1;=;1;3;3'
854,'62-40=182','62+40=102',op_and_digit_balance,7,8,0,2,-,+,,,,,,,'6;2;-;4;0;=;1;8;2','6;2;+;4;0;=;1;0;2'
855,'99-80=139','59+80=139',op_and_digit_balance,0,9,5,2,-,+,,,,,,,'9;9;-;8;0;=;1;3;9','5;9;+;8;0;=;1;3;9'
856,'53-90=33','63-30=33',digit_to_digit,3,9,3,0,5,6,,,,,,,'5;3;-;9;0;=;3;3','6;3;-;3;0;=;3;3'
857,'35+35=60','95-35=60',op_and_digit_balance,2,+,-,0,3,9,,,,,,,'3;5;+;3;5;=;6;0','9;5;-;3;5;=;6;0'
858,'64+30=911','64+30=94',four_eleven,7,11,4,,,,,,,,,,'6;4;+;3;0;=;9;11','6;4;+;3;0;=;9;4'
859,'24+25=59','34+25=59',within_digit,0,2,3,,,,,,,,,,'2;4;+;2;5;=;5;9','3;4;+;2;5;=;5;9'
860,'95-41=96','55+41=96',op_and_digit_balance,0,9,5,2,-,+,,,,,,,'9;5;-;4;1;=;9;6','5;5;+;4;1;=;9;6'
861,'93-20=69','83-20=63',digit_to_digit,7,9,3,0,9,8,,,,,,,'9;3;-;2;0;=;6;9','8;3;-;2;0;=;6;3'
862,'94-87=781','94+87=181',op_and_digit_balance,6,7,1,2,-,+,,,,,,,'9;4;-;8;7;=;7;8;1','9;4;+;8;7;=;1;8;1'
863,'91+41=44','91-47=44',op_and_digit_balance,2,+,-,4,1,7,,,,,,,'9;1;+;4;1;=;4;4','9;1;-;4;7;=;4;4'
864,'19+35=44','79-35=44',op_and_digit_balance,2,+,-,0,1,7,,,,,,,'1;9;+;3;5;=;4;4','7;9;-;3;5;=;4;4'
865,'36=67--31','36-67=-31',swap_-_and_=,2,=,-,5,-,=,,,,,,,'3;6;=;6;7;-;-;3;1','3;6;-;6;7;=;-;3;1'
866,'88=41-47','88-41=47',swap_-_and_=,2,=,-,5,-,=,,,,,,,'8;8;=;4;1;-;4;7','8;8;-;4;1;=;4;7'
867,'65+29=89','65+23=88',digit_to_digit,4,9,3,7,9,8,,,,,,,'6;5;+;2;9;=;8;9','6;5;+;2;3;=;8;8'
868,'50+15=-25','50-75=-25',op_and_digit_balance,2,+,-,3,1,7,,,,,,,'5;0;+;1;5;=;-;2;5','5;0;-;7;5;=;-;2;5'
869,'30-16=48','30+16=46',op_and_digit_balance,7,8,6,2,-,+,,,,,,,'3;0;-;1;6;=;4;8','3;0;+;1;6;=;4;6'
870,'24+50=-66','24-90=-66',op_and_digit_balance,2,+,-,3,5,9,,,,,,,'2;4;+;5;0;=;-;6;6','2;4;-;9;0;=;-;6;6'
871,'55+50=9','59-50=9',op_and_digit_balance,2,+,-,1,5,9,,,,,,,'5;5;+;5;0;=;9','5;9;-;5;0;=;9'
872,'48+57=-19','48-67=-19',op_and_digit_balance,2,+,-,3,5,6,,,,,,,'4;8;+;5;7;=;-;1;9','4;8;-;6;7;=;-;1;9'
873,'14+84=168','74+84=158',digit_to_digit,7,6,5,0,1,7,,,,,,,'1;4;+;8;4;=;1;6;8','7;4;+;8;4;=;1;5;8'
874,'17-92=45','77-32=45',digit_to_digit,3,9,3,0,1,7,,,,,,,'1;7;-;9;2;=;4;5','7;7;-;3;2;=;4;5'
875,'17=69--52','17-69=-52',swap_-_and_=,2,=,-,5,-,=,,,,,,,'1;7;=;6;9;-;-;5;2','1;7;-;6;9;=;-;5;2'
876,'58-59=-49','50-99=-49',digit_to_digit,1,8,0,3,5,9,,,,,,,'5;8;-;5;9;=;-;4;9','5;0;-;9;9;=;-;4;9'
877,'42+70=-20','42-70=-28',op_and_digit_balance,2,+,-,8,0,8,,,,,,,'4;2;+;7;0;=;-;2;0','4;2;-;7;0;=;-;2;8'
878,'92-73=20','93-73=20',within_digit,1,2,3,,,,,,,,,,'9;2;-;7;3;=;2;0','9;3;-;7;3;=;2;0'
879,'62-73=-10','62-72=-10',within_digit,4,3,2,,,,,,,,,,'6;2;-;7;3;=;-;1;0','6;2;-;7;2;=;-;1;0'
880,'45-98=-41','45-86=-41',digit_to_digit,4,8,6,3,9,8,,,,,,,'4;5;-;9;8;=;-;4;1','4;5;-;8;6;=;-;4;1'
881,'97-51=-20','37-57=-20',digit_to_digit,0,9,3,4,1,7,,,,,,,'9;7;-;5;1;=;-;2;0','3;7;-;5;7;=;-;2;0'
882,'52+44=6','52-44=8',op_and_digit_balance,2,+,-,6,6,8,,,,,,,'5;2;+;4;4;=;6','5;2;-;4;4;=;8'
883,'74+95=113','74+39=113',digit_to_digit,3,9,3,4,5,9,,,,,,,'7;4;+;9;5;=;11;3','7;4;+;3;9;=;11;3'
884,'16+21=-3','18-21=-3',op_and_digit_balance,2,+,-,1,6,8,,,,,,,'1;6;+;2;1;=;-;3','1;8;-;2;1;=;-;3'
885,'31+65=702','37+65=102',digit_to_digit,6,7,1,1,1,7,,,,,,,'3;1;+;6;5;=;7;0;2','3;7;+;6;5;=;1;0;2'
886,'28-88=114','28+86=114',op_and_digit_balance,4,8,6,2,-,+,,,,,,,'2;8;-;8;8;=;11;4','2;8;+;8;6;=;11;4'
887,'53+57=2','59-57=2',op_and_digit_balance,2,+,-,1,3,9,,,,,,,'5;3;+;5;7;=;2','5;9;-;5;7;=;2'
888,'48=65--17','48-65=-17',swap_-_and_=,2,=,-,5,-,=,,,,,,,'4;8;=;6;5;-;-;1;7','4;8;-;6;5;=;-;1;7'
